sum,cmy,label,label_30
22.0,14.59,1500,5
19.77,13.38,1500,18
18.34,12.790000000000001,1500,1
17.79,12.45,1500,1
20.1,13.55,1500,18
18.31,12.61,1500,1
18.11,12.58,1500,1
15.76,10.34,1000,26
16.07,10.45,1000,14
18.85,12.559999999999999,1500,1
18.74,12.620000000000001,1500,1
18.88,12.559999999999999,1500,1
18.79,12.6,1500,1
11.67,7.66,750,0
11.739999999999998,7.72,750,0
18.51,12.46,1500,1
18.21,12.62,1500,1
18.72,12.47,1500,1
18.38,12.61,1500,1
12.94,8.56,1000,12
13.26,8.68,1000,12
19.33,12.799999999999999,1500,1
19.34,12.879999999999999,1500,1
14.34,9.27,1000,6
19.2,12.66,1500,1
18.23,12.49,1500,1
18.99,12.620000000000001,1500,1
18.22,12.48,1500,1
10.010000000000002,6.930000000000001,750,0
10.33,6.97,750,0
11.79,7.87,750,0
10.34,7.0,750,0
11.76,7.87,750,0
21.02,13.82,1500,5
19.54,12.74,1500,1
15.79,10.15,1000,26
20.89,15.290000000000001,1500,5
16.43,10.98,1000,14
18.55,12.52,1500,1
18.02,12.18,1500,22
19.03,12.85,1500,1
18.29,12.51,1500,1
19.01,12.87,1500,1
18.37,12.58,1500,1
19.08,12.87,1500,1
18.87,12.59,1500,1
18.98,12.82,1500,1
18.61,12.57,1500,1
19.12,12.84,1500,1
18.35,12.530000000000001,1500,1
24.11,15.64,1500,25
23.61,15.75,1500,25
23.48,15.64,1500,25
24.200000000000003,15.870000000000001,1500,25
20.5,13.73,1500,18
18.96,13.36,1500,1
15.84,10.219999999999999,1000,26
19.99,13.16,1500,18
20.05,13.48,1500,18
19.32,13.14,1500,1
22.13,14.57,1500,5
20.68,13.280000000000001,1500,18
20.02,13.51,1500,18
20.29,13.3,1500,18
19.34,13.34,1500,1
0.06,0.0,500,19
89.39999999999999,65.1,2000,2
0.06,0.0,500,19
5.74,1.62,500,3
4.640000000000001,1.52,500,28
10.52,7.07,750,0
12.579999999999998,8.29,1000,12
20.73,13.89,1500,18
18.92,12.53,1500,1
19.09,12.66,1500,1
18.71,12.32,1500,1
12.31,8.56,1000,12
18.74,12.49,1500,1
18.66,12.25,1500,1
0.06,0.0,500,19
65.88,50.5,2000,29
0.06,0.0,500,19
7.23,1.82,500,3
5.71,1.66,500,3
3.59,1.25,500,16
4.67,1.47,500,28
5.32,1.56,500,28
3.71,1.4100000000000001,500,16
19.71,12.649999999999999,1500,1
20.06,13.540000000000001,1500,18
21.02,14.16,1500,5
19.71,13.420000000000002,1500,18
22.15,15.25,1500,5
22.08,15.5,1500,13
23.44,16.28,1500,25
22.99,16.29,1500,25
18.18,13.329999999999998,1500,1
19.99,13.309999999999999,1500,18
19.46,13.19,1500,1
19.89,12.71,1500,1
20.49,13.82,1500,18
20.64,13.29,1500,18
21.46,14.38,1500,5
19.98,13.350000000000001,1500,18
19.53,13.23,1500,1
0.06,0.0,500,19
84.77,61.39,2000,2
0.06,0.0,500,19
6.29,1.64,500,3
5.99,1.7,500,3
6.24,1.62,500,3
6.66,1.78,500,3
3.68,1.23,500,16
5.0,1.63,500,28
4.41,1.32,500,28
14.11,9.350000000000001,1000,6
18.85,12.009999999999998,1500,1
15.78,10.51,1000,26
15.919999999999998,10.379999999999999,1000,26
16.55,10.93,1000,14
19.55,12.54,1500,1
19.23,12.94,1500,1
17.67,11.540000000000001,1500,22
22.51,13.83,1500,5
23.91,16.009999999999998,1500,25
22.39,14.73,1500,5
25.09,16.8,1500,4
17.400000000000002,11.700000000000001,1500,22
