k,sum,cmy,label,old_label
6.86,21.02,21.240000000000002,1500,3
6.29,19.71,20.130000000000003,1500,1
6.9,22.15,22.875,1500,5
6.58,22.08,23.25,1500,12
7.16,23.44,24.42,1500,5
6.7,22.99,24.435,1500,5
4.85,18.18,19.994999999999997,1500,0
6.68,19.99,19.964999999999996,1500,1
6.27,19.46,19.785,1500,1
7.18,19.89,19.065,1500,3
6.67,20.49,20.73,1500,1
7.35,20.64,19.935,1500,15
7.08,21.46,21.57,1500,3
6.63,19.98,20.025000000000002,1500,1
6.3,19.53,19.845,1500,1
0.06,0.06,0.0,500,27
23.38,84.77,92.08500000000001,2000,6
0.06,0.06,0.0,500,27
4.65,6.29,2.46,500,37
4.29,5.99,2.55,500,29
4.62,6.24,2.43,500,37
4.88,6.66,2.67,500,37
2.45,3.68,1.845,500,25
3.37,5.0,2.445,500,13
3.09,4.41,1.98,500,13
4.76,14.11,14.025000000000002,1000,38
6.84,18.85,18.014999999999997,1500,3
5.27,15.78,15.765,1000,11
5.54,15.919999999999998,15.569999999999999,1000,11
5.62,16.55,16.395,1000,11
7.01,19.55,18.81,1500,3
6.29,19.23,19.41,1500,1
6.13,17.67,17.310000000000002,1000,9
8.68,22.51,20.745,1500,16
7.9,23.91,24.014999999999997,1500,16
7.66,22.39,22.095,1500,15
8.29,25.09,25.200000000000003,1500,16
5.7,17.400000000000002,17.55,1500,0
8.06,22.6,21.81,1500,16
5.64,16.39,16.125,1000,11
5.74,16.240000000000002,15.75,1000,9
0.06,0.06,0.0,500,27
23.21,91.65,102.66,2000,6
0.06,0.06,0.0,500,27
4.39,5.949999999999999,2.34,500,29
2.62,4.050000000000001,2.1450000000000005,500,25
6.77,16.98,15.315000000000001,1000,30
7.04,18.3,16.889999999999997,1500,3
6.18,16.38,15.299999999999999,1000,9
5.9,16.3,15.600000000000001,1000,9
7.25,20.8,20.325,1500,3
6.88,20.34,20.19,1500,3
7.7,21.29,20.384999999999998,1500,15
7.09,20.68,20.384999999999998,1500,3
7.14,21.55,21.615000000000002,1500,3
6.74,21.19,21.675,1500,12
6.89,20.41,20.28,1500,3
6.47,19.8,19.995,1500,1
6.86,20.36,20.25,1500,3
6.53,20.1,20.355,1500,1
19.13,61.58,63.675000000000004,2000,23
0.06,0.06,0.0,500,27
4.27,5.97,2.55,500,29
4.31,6.02,2.565,500,29
4.63,6.39,2.64,500,37
5.16,6.98,2.73,500,36
4.47,6.199999999999999,2.5949999999999998,500,29
1.16,2.36,1.7999999999999998,500,34
5.36,16.03,16.005,1000,11
5.25,16.73,17.22,1500,0
4.87,15.880000000000004,16.515,1000,39
3.3,10.74,11.16,750,18
6.26,19.01,19.125,1500,1
6.41,19.92,20.265,1500,1
5.52,18.14,18.93,1500,0
3.76,13.65,14.835,1000,33
3.86,12.88,13.53,1000,33
4.5,14.6,15.149999999999999,1000,2
4.38,14.489999999999998,15.165,1000,2
7.63,22.34,22.065,1500,15
6.62,19.62,19.5,1500,8
3.45,11.8,12.525000000000002,750,18
4.02,12.75,13.095,1000,33
4.0,12.59,12.885,1000,33
4.95,15.39,15.660000000000002,1000,39
4.9,15.37,15.705000000000002,1000,39
4.68,15.34,15.99,1000,39
4.65,15.37,16.08,1000,39
5.53,16.27,16.11,1000,11
5.62,16.240000000000002,15.930000000000001,1000,11
5.82,16.98,16.740000000000002,1000,9
6.01,17.21,16.799999999999997,1000,9
7.42,20.8,20.07,1500,15
7.26,20.62,20.04,1500,3
3.92,13.17,13.875,1000,33
7.1,20.65,20.325000000000003,1500,3
3.55,10.6,10.575,750,18
6.92,20.6,20.52,1500,3
11.96,77.5,98.30999999999999,2000,10
0.06,0.06,0.0,500,27
4.76,6.859999999999999,3.1500000000000004,500,37
4.68,6.44,2.64,500,37
4.36,6.4,3.06,500,29
1.76,3.05,1.935,500,25
5.65,15.93,15.420000000000002,1000,11
3.52,9.48,8.94,750,18
4.57,11.93,11.04,1000,38
5.97,16.23,15.390000000000002,1000,9
6.2,16.25,15.075000000000001,1000,9
6.39,15.93,14.309999999999999,1000,30
6.49,16.41,14.879999999999999,1000,30
5.29,14.69,14.100000000000001,1000,19
3.54,9.67,9.195,750,18
6.99,18.97,17.97,1500,3
7.01,19.46,18.674999999999997,1500,3
6.39,15.75,14.04,1000,30
6.89,17.25,15.54,1000,30
4.03,11.52,11.235,1000,33
3.87,10.72,10.274999999999999,1000,33
6.77,16.979999999999997,15.314999999999998,1000,30
6.85,19.06,18.314999999999998,1500,3
6.85,18.79,17.910000000000004,1500,3
6.49,18.78,18.435,1500,8
6.51,18.32,17.715,1500,8
4.23,11.81,11.370000000000001,1000,38
5.79,15.85,15.09,1000,9
5.27,13.79,12.78,1000,19
3.37,10.44,10.605,750,18
3.26,9.83,9.855,750,18
3.75,10.33,9.870000000000001,1000,33
6.27,18.91,18.96,1500,1
6.13,17.66,17.295,1000,9
5.56,16.36,16.2,1000,11
6.05,16.67,15.930000000000001,1000,9
5.98,17.130000000000003,16.725,1000,9
0.06,0.06,0.0,500,27
14.83,61.17,69.50999999999999,2000,7
0.06,0.06,0.0,500,27
4.26,5.8,2.31,500,29
3.59,5.18,2.385,500,13
5.17,6.85,2.52,500,36
5.28,7.12,2.7600000000000002,500,36
4.19,5.74,2.3249999999999997,500,29
4.67,6.42,2.625,500,37
5.42,15.18,14.64,1000,11
3.95,12.12,12.254999999999999,1000,33
6.34,16.189999999999998,14.774999999999999,1000,9
4.74,12.92,12.27,1000,19
7.3,24.16,25.29,1500,5
7.08,24.05,25.455,1500,5
6.99,23.910000000000004,25.380000000000003,1500,5
7.01,24.18,25.755000000000003,1500,5
6.97,23.83,25.29,1500,5
7.02,24.11,25.634999999999998,1500,5
6.94,23.860000000000003,25.380000000000003,1500,5
7.05,24.05,25.5,1500,5
7.01,23.82,25.215000000000003,1500,5
3.75,11.3,11.325000000000001,1000,33
3.19,10.26,10.605,750,18
3.29,10.52,10.845,750,18
3.21,10.29,10.620000000000001,750,18
3.04,9.36,9.48,750,18
3.51,9.74,9.345,750,18
3.56,9.78,9.33,750,18
6.29,16.53,15.36,1000,9
5.88,16.37,15.735,1000,9
5.79,16.06,15.405,1000,9
2.86,8.76,8.850000000000001,750,18
5.7,15.72,15.03,1000,11
2.94,9.1,9.24,750,18
4.39,12.21,11.73,1000,38
3.68,11.82,12.21,1000,33
8.63,26.65,27.03,1500,17
7.34,21.01,20.505,1500,15
