,sum,label
801,26.11,4
802,25.730000000000004,4
803,17.91,0
804,17.740000000000002,0
805,12.34,0
806,11.77,0
807,25.229999999999997,4
808,14.100000000000001,0
809,13.66,0
810,13.489999999999998,0
811,14.290000000000001,0
812,13.419999999999998,0
813,13.61,0
814,13.19,0
815,13.870000000000001,0
816,13.760000000000002,0
817,13.73,0
818,13.14,0
819,13.370000000000001,0
820,13.15,0
821,13.05,0
822,13.76,0
823,9.190000000000001,2
824,9.1,2
825,8.51,2
826,99.03,1
827,0.07,2
828,6.779999999999999,2
829,16.0,0
830,16.119999999999997,0
831,15.97,0
832,15.82,0
833,19.12,4
834,19.31,4
835,15.81,0
836,15.98,0
837,14.579999999999998,0
838,15.52,0
839,17.08,0
840,16.4,0
841,10.95,0
842,5.89,2
843,6.62,2
844,5.96,2
845,6.43,2
846,2.3,2
847,0.07,2
848,7.15,2
849,6.86,2
850,0.07,2
851,157.25,3
